EXPOCODE,Ship_Name,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Station_ID,Latitude,Longitude,Depth,CTDTEMP_ITS90,CTDTEMP_flag,Salinity_PSS78,Salinity_flag,DIC,DIC_flag,TA,TA_flag
,,,,,,,decimal degrees,decimal degres,m,deg_C,,,,umol/kg,,umol/kg,
32NM19840104,RV NEW HORIZON,1984,1,7,0:00:00,090.0 070.0,32.0846,-120.6387,11,15.71,2,33.439,2,1991.2,2,-999,9
32NM19840104,RV NEW HORIZON,1984,1,7,0:00:00,090.0 070.0,32.0846,-120.6387,11,-999,9,33.438,2,1987.2,2,-999,9
32NM19840104,RV NEW HORIZON,1984,1,9,0:00:00,090.0 100.0,31.0846,-122.662,11,16.57,2,33.338,2,1980.7,2,2233.7,2
32NM19840104,RV NEW HORIZON,1984,1,9,0:00:00,090.0 100.0,31.0846,-122.662,11,-999,9,33.339,2,1980.6,2,2235.6,2
32NM19840104,RV NEW HORIZON,1984,1,9,0:00:00,093.3 100.0,30.513,-122.2576,12,16.93,2,33.43,2,-999,9,2241.9,2
32NM19840104,RV NEW HORIZON,1984,1,9,0:00:00,093.3 100.0,30.513,-122.2576,12,-999,9,33.436,2,-999,9,2254,2
32NM19840104,RV NEW HORIZON,1984,1,9,0:00:00,093.3 090.0,30.8464,-121.5896,9,17.35,2,33.545,2,1988.4,2,2251.7,2
32NM19840104,RV NEW HORIZON,1984,1,9,0:00:00,093.3 090.0,30.8464,-121.5896,9,-999,9,33.557,2,1987.4,2,2250.9,2
32NM19840104,RV NEW HORIZON,1984,1,9,22:46:01,090.0 120.0,30.4179,-123.9989,9,17.35,2,33.551,2,1987.9,2,2251.3,2
32NM19840104,RV NEW HORIZON,1984,1,9,22:46:01,090.0 120.0,30.4179,-123.9989,11,16.57,2,33.339,2,1980.7,2,2234.6,2
32NM19840104,RV NEW HORIZON,1984,1,14,0:00:00,096.7 100.0,29.9241,-121.8439,11,17.29,2,33.545,2,1986.2,2,2251.8,2
32NM19840104,RV NEW HORIZON,1984,1,14,0:00:00,096.7 100.0,29.9241,-121.8439,11,-999,9,-999,9,1985.7,2,2246.3,2
32NM19840104,RV NEW HORIZON,1984,1,14,0:00:00,096.7 090.0,30.2575,-121.18,10,17.4,2,33.565,2,1989.1,2,2252.3,2
32NM19840104,RV NEW HORIZON,1984,1,14,0:00:00,096.7 090.0,30.2575,-121.18,10,-999,9,33.566,2,1986.5,2,2249.4,2
32NM19840104,RV NEW HORIZON,1984,1,14,22:51:40,097.0 090.0,30.2055,-121.144,10,17.4,2,33.565,2,1987.8,2,2250.8,2
32NM19840104,RV NEW HORIZON,1984,1,14,22:51:40,097.0 100.0,29.8722,-121.8076,11,17.29,2,33.549,2,1986,2,2251.8,2
32NM19840104,RV NEW HORIZON,1984,1,15,0:00:00,100.0 100.0,29.3526,-121.4453,13,17.96,2,33.675,2,1992.4,2,2257.2,2
32NM19840104,RV NEW HORIZON,1984,1,15,0:00:00,100.0 100.0,29.3526,-121.4453,13,-999,9,33.678,2,1990.2,2,2259,2
32NM19840104,RV NEW HORIZON,1984,1,15,0:00:00,100.0 090.0,29.6859,-120.7852,10,17.22,2,33.548,2,-999,9,2252.1,2
32NM19840104,RV NEW HORIZON,1984,1,15,0:00:00,100.0 090.0,29.6859,-120.7852,10,-999,9,33.55,2,-999,9,2252.2,2
32NM19840104,RV NEW HORIZON,1984,1,15,23:24:22,097.0 100.0,29.8722,-121.8076,13,17.96,2,33.676,2,1991.3,2,2258.1,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,103.0 100.0,28.8329,-121.0853,10,17.7,2,-999,9,-999,9,2263.4,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,103.0 100.0,28.8329,-121.0853,10,-999,9,-999,9,-999,9,2264.2,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,103.0 100.0,28.8329,-121.0853,10,-999,9,-999,9,-999,9,2263,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,103.0 100.0,28.8329,-121.0853,10,-999,9,-999,9,-999,9,2261.2,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,103.0 100.0,28.8329,-121.0853,10,-999,9,-999,9,-999,9,2257.7,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,103.0 100.0,28.8329,-121.0853,10,-999,9,-999,9,-999,9,2260.7,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,103.0 100.0,28.8329,-121.0853,10,-999,9,-999,9,-999,9,2258,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,103.0 100.0,28.8329,-121.0853,10,-999,9,-999,9,-999,9,2259.2,2
32NM19840104,RV NEW HORIZON,1984,1,19,0:00:00,103.0 090.0,29.1663,-120.4286,10,17.12,2,33.544,2,-999,9,2253.1,2
